name,registry_id,hq,extra
GK FINANCING AND INVESTMENT CORP. DOING BUSINESS UNDER THE TRADE NAME FINSY FINANCING SERVICES; FINSY FINANCE SOLUTIONS; FINSY FINANCING SOLUTIONS AND FINSY FINANCE MANAGERS,1213,Philippines,
GLEH FINANCIAL SOLUTION CORPORATION,638,Philippines,
GLOBAL ASIA FINANCE & LEASING CORP.,181,Philippines,
Global Cebuana Finance Inc.,F-23-0057-14,Philippines,
"GLOBAL DOMINION FINANCING, INCROPORATED",530,Philippines,
GLOBAL MERIT FINANCECENTER CORP.,1013,Philippines,
GLOBAL ONE FINANCE AND INVESTMENT CORP.,228,Philippines,
GLOBAL SME LOANS INC.,1166,Philippines,
GLOBAL WEALTH FINANCING (GWF) CORPORATION,794,Philippines,
GLOBALEDGE RESOURCES FINANCING CORPORATION,F-22-0030-28,Philippines,
GLOBEWEST FINANCE CORP.,267,Philippines,
GLOGOLD FINANCING CORPORATION,856,Philippines,
GLORIOSA FINANCE CORP.,1054,Philippines,
GMBT FINANCING CORPORATION,307,Philippines,
GMS FINANCE PHILIPPINES Inc.,1243,Philippines,
GOAL Credit Corporation,1193,Philippines,
GOLDCHECK FINANCE & DEVELOPMENT CORP.,1020,Philippines,
GOLDEN (ILOILO) FINANCE CORP.,40,Philippines,
Golden Beats Global Financing Corporation,1270,Philippines,
GOLDEN ENDEAVOR MICRO-FINANCE CORP.,302,Philippines,
GOLDEN GRANDEUR FINANCING SERVICES INC.,1120,Philippines,
GOLDEN HARVEST FINANCE CORP.,97,Philippines,
GOLDEN R & L FINANCE CORPORATION,914,Philippines,
GOLDEN STREAM FINANCING CORP.,290,Philippines,
GOLDEN SUN FINANCE CORP.,215,Philippines,
GOLDLINE FINANCE AND LEASING CORPORATION,F-22-0033-91,Philippines,
GOLDLINE FINANCE AND LEASING CORPORATION,F-22-0033-91,Philippines,
"GOLDPRIME FINANCIAL SERVICES, INC.",968,Philippines,
GOOD MORNING FINANCE CORPORATION,1098,Philippines,
GOOD PROVIDER FINANCING AND LEASING CORPORATION,1006,Philippines,
GOODWILL CREDIT CORPORATION,694,Philippines,
GOPEL FINANCE CORPORATION,984,Philippines,
"GRAB FINANCIAL SERVICES PHILIPPINES INC,",1210,Philippines,
"GRANDUKE FINANCING COMPANY, INC.",1148,Philippines,
GRANDVISTA FINANCE CORPORATION,1008,Philippines,
GRANSTAR FINANCE & DEVELOPMENT CORP.,1030,Philippines,
GREAT EDUCATIONAL FINANCING CORP.,350,Philippines,
GRETZ FINANCING CORPORATION,878,Philippines,
"GROLIER INTL. FINANCE, INC.",192,Philippines,
GROWTH EDGE FINANCING CORPORATION,1294,Philippines,
GRUPO ASIANA FINANCE INC.,1023,Philippines,
GSM CEBU INVESTORS FINANCE CORPORATION (Formerly: GSM CEBU LENDING INVESTOR INC.),956,Philippines,
GTL FINANCE CORPORATION,828,Philippines,
GUAHAN FINANCING CORPORATION,1041,Philippines,
GUILMARK FINANCE CORPORATION,1086,Philippines,
HAMILTON FINANCING CORPORATION,1093,Philippines,
"HARBIE FINANCE INC. (Formerly: TFC Corporate Services, Inc.)",1306,Philippines,
"HARBIE FINANCE, INC. (FORMERLY: TFC CORPORATE SERVICES, INC.)",1306,Philippines,
HAVEN HARVEST FINANCE CORP.,1296,Philippines,
"HC CONSUMER FINANCE PHILIPPINES, INC.",1071,Philippines,
"HCPH FINANCING 1, INC.",1145,Philippines,
HEADSTART FINANCE CORP.,194,Philippines,
HEATHER FINANCING CORPORATION,964,Philippines,
HERCULES FINANCING CORP.,992,Philippines,
HEWLETT PACKARD FINANCIAL SERVICES (PHILIPPINES) CORPORATION,1135,Philippines,
HEXAGON FINANCE & INV. CORP. (ALSO HEXAFIN),177,Philippines,
HIGHLITE FINANCE CORP.,412,Philippines,
HILLS FINANCE CORPORATION,1129,Philippines,
HITRUST FINANCE CORPORATION,241,Philippines,
"HMS CREDIT & FINANCE CO., INC. (Formerly: HMS CREDIT CORPORATION)",963,Philippines,
HOPEWELL FINANCE CORPORATION,898,Philippines,
HT (HOMETOWN) FINANCING CORPORATION (Formerly: HT (HOME TOWN) CORP.),784,Philippines,
HT INTEGRATED FINANCING SERVICES (PH) CORP.,1206,Philippines,
HUERVANA FINANCNG CORPORATION,1045,Philippines,
HUEY FINANCING INCORPORATED doing business under the name/s and style/s of HUEY FINANCING; HUEY ONLINE; HUEY SUPPORT; HUEY GUARANTEE; XIMP,F-21-0006-62,Philippines,
I AND C FINANCE CORPORATION,589,Philippines,
IBA FINANCE CORP.,148,Philippines,
IBM GLOBAL FINANCING PHILIPPINES CORPORATION,1097,Philippines,
ICHIBAN FINANCING INC.,893,Philippines,
ICREDIT FINANCE CORP.,1057,Philippines,
iDIRECT FINANCE COMPANY INC. doing business under the name and style of Direct Loan),F-21-0010-64,Philippines,
IGLOBAL FINANCIAL SERVICES INC.,1156,Philippines,
ILC FINANCE CENTER CORPORATION,502,Philippines,
ILLUMINATES FINANCE AND CREDIT INC.,1191,Philippines,
ILOILO COMML. FINANCE CORP.,21,Philippines,
