name,registry_id,hq,extra
BABA KER SAHIB LENDING AND TRADING PHILS CORP.,2029,Philippines,
BABA MUNSHI LENDING CORPORATION,2282,Philippines,
BABA MURAD SHAH LENDING INVESTOR CORPORATION,2237,Philippines,
BABA NAND SINGH LENDING INVESTOR AND TRADING CORP.,2393,Philippines,
BABA SEVA DAS LENDING AND TRADING CORP.,2334,Philippines,
BABA SONDHI JI LENDING INVESTOR CORP.,2328,Philippines,
BABY LOAN CENTRAL LENDING INC.,2543,Philippines,
BACOLOD ACREDITAR LENDING CORPORATION,1193,Philippines,
BACOLOD GM LENDING CORPORATION,375,Philippines,
BAGABAG SUNSHINE LENDING CORP.,L-22-0234-57,Philippines,
BAGONG PAG-ASA LENDING CORPORATION,253,Philippines,
BAGUIO INTERCARD LENDING CORPORATION,387,Philippines,
BAHLI LENDING AND TRADING PHILS. CORP.,1372,Philippines,
BAI JI LENDING CORPORATION,2772,Philippines,
BAKERMAX LENDING CORP.,L-21-0043-74,Philippines,
BALAK 1008 LENDING AND TRADING INC.,2303,Philippines,
BALANGA CREDITLINE LENDING CORPORATION,2574,Philippines,
BALI LENDING CORPORATION,683,Philippines,
BALLAGAN-GANGOTRE LENDING AND TRADING CORP.,2382,Philippines,
BALUYAN ALEGRIA ROSALES LOAN SERVICES INC.,2278,Philippines,
BAMBRAH LENDING AND TRADING CORPORATION,1998,Philippines,
BANCASIA CAPITAL CORPORATION,760,Philippines,
BANCPH LENDING INC.,2677,Philippines,
BANDILA LENDING CORPORATION,301,Philippines,
BAÑES MICRO LENIDNG CORP.,2120,Philippines,
BANGKAL BROTHER LENDING CORP.,3094,Philippines,
Banhigan Lending Investor Inc.,3097,Philippines,
BANITA INTL. CREDIT CORP.,2890,Philippines,
BARAKAT LENDING INVESTORS CORPORATION,1381,Philippines,
"BARKADAHAN PALAWAN LENDERS, INC.",173,Philippines,
"BARNALA INT'L. LENDING & TRADING, INC.",877,Philippines,
"BARRA DE ORO LENDING, INC.",1094,Philippines,
BART LENDING CORP.,,Philippines,
BASIC RESOURCES MICRO-LENDING (B.R.M.) CORPORATION,1549,Philippines,
BASILEA LENDING CORPORATION,3323,Philippines,
BASSEC LENDING SERVICES CORPORATION,541,Philippines,
BAWA LENDING INVESTOR CORPORATION,2569,Philippines,
BAYANAN CREDIT CORPORATION,793,Philippines,
BAYANI CREDIT CORPORATION,312,Philippines,
BAYAWAN'S PRIDE LENDING CORPORATION,3334,Philippines,
BB & SONS CAPITAL LENDING CORPORATION,1040,Philippines,
BBG LENDING CORP.,1559,Philippines,
BBNK LENDING CORPORATION,L-21-0037-88,Philippines,
BCC CREDIT CORPORATION,932,Philippines,
BDL LENDING INC.,L-22-0123-27,Philippines,
BDPRS LENDING & TRADING CORP.,1275,Philippines,
BE COOL EXPRESS LENDING INVESTOR CORP.,2601,Philippines,
BEAC REL LENDING INVESTOR CORP.,1301,Philippines,
BEATUS FISCUS LENDING CORPORATION,L-22-0314-32,Philippines,
BEEPER LENDING CORPORATION,239,Philippines,
BEGPIPER LENDING CORPORATION,2186,Philippines,
BEISTAND LOAN CORP.,1680,Philippines,
BEJ LENDING INVESTOR CORPORATION,1162,Philippines,
BENI-PAL LENDING AND TRADING CORP.,2408,Philippines,
BENRIO LENDING CORPORATION,1263,Philippines,
