name,registry_id,hq,extra
DRAGOON LENDING CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
GINTONG BUKAS LENDING CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
GOLDEN ACE LENDING CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
GOLDEN SCION LENDING CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
"GREAT RIVER LENDING INVESTOR GROUP, INC",,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
GREEN HEIGHTS CREDIT AND LOAN INC,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
GREENFUND CREDIT CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
IHF 115 LENDING CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
J-TEAM LENDING ENTERPRISES CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
JJ MONKEYLINK INC.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
JRP 2008 CREDIT CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
JULET MICRO EXPRESS CREDIT INFORMATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
KWARTA LINE LENDING INC.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
LADY ANNE LENDING CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
LAIPOWER LENDING CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
LOTUS-4 GROUP LENDING CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
LUDYLAI LENDING CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
"QUARIES LENDING CO., INC.",,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
UNLAD PILIPINO CREDIT & LOANS CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
VALENZUELA LENDING INVESTOR INC.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
15/30 LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ACTIVE LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
AGM LENDING INVESTORS & CREDIT INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ALCOR LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ALJAHAZ CONSUMER LENDING INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"ALPINE LENDING INVESTOR, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
AMGAR LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
AMIANAN LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"ANVEL LENDING INVESTORS, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
"AREMAR LENDING INVESTORS, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
AUXILLIARY LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
BALASAN LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
BANATE LENDING SVCS. INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
